"id","country_id:id","state_id:id"
l10n_pe.district_pe_010101,base.pe,base.state_pe_01
l10n_pe.district_pe_010102,base.pe,base.state_pe_01
l10n_pe.district_pe_010103,base.pe,base.state_pe_01
l10n_pe.district_pe_010104,base.pe,base.state_pe_01
l10n_pe.district_pe_010105,base.pe,base.state_pe_01
l10n_pe.district_pe_010106,base.pe,base.state_pe_01
l10n_pe.district_pe_010107,base.pe,base.state_pe_01
l10n_pe.district_pe_010108,base.pe,base.state_pe_01
l10n_pe.district_pe_010109,base.pe,base.state_pe_01
l10n_pe.district_pe_010110,base.pe,base.state_pe_01
l10n_pe.district_pe_010111,base.pe,base.state_pe_01
l10n_pe.district_pe_010112,base.pe,base.state_pe_01
l10n_pe.district_pe_010113,base.pe,base.state_pe_01
l10n_pe.district_pe_010114,base.pe,base.state_pe_01
l10n_pe.district_pe_010115,base.pe,base.state_pe_01
l10n_pe.district_pe_010116,base.pe,base.state_pe_01
l10n_pe.district_pe_010117,base.pe,base.state_pe_01
l10n_pe.district_pe_010118,base.pe,base.state_pe_01
l10n_pe.district_pe_010119,base.pe,base.state_pe_01
l10n_pe.district_pe_010120,base.pe,base.state_pe_01
l10n_pe.district_pe_010121,base.pe,base.state_pe_01
l10n_pe.district_pe_010201,base.pe,base.state_pe_01
l10n_pe.district_pe_010202,base.pe,base.state_pe_01
l10n_pe.district_pe_010203,base.pe,base.state_pe_01
l10n_pe.district_pe_010204,base.pe,base.state_pe_01
l10n_pe.district_pe_010205,base.pe,base.state_pe_01
l10n_pe.district_pe_010206,base.pe,base.state_pe_01
l10n_pe.district_pe_010301,base.pe,base.state_pe_01
l10n_pe.district_pe_010302,base.pe,base.state_pe_01
l10n_pe.district_pe_010303,base.pe,base.state_pe_01
l10n_pe.district_pe_010304,base.pe,base.state_pe_01
l10n_pe.district_pe_010305,base.pe,base.state_pe_01
l10n_pe.district_pe_010306,base.pe,base.state_pe_01
l10n_pe.district_pe_010307,base.pe,base.state_pe_01
l10n_pe.district_pe_010308,base.pe,base.state_pe_01
l10n_pe.district_pe_010309,base.pe,base.state_pe_01
l10n_pe.district_pe_010310,base.pe,base.state_pe_01
l10n_pe.district_pe_010311,base.pe,base.state_pe_01
l10n_pe.district_pe_010312,base.pe,base.state_pe_01
l10n_pe.district_pe_010401,base.pe,base.state_pe_01
l10n_pe.district_pe_010402,base.pe,base.state_pe_01
l10n_pe.district_pe_010403,base.pe,base.state_pe_01
l10n_pe.district_pe_010501,base.pe,base.state_pe_01
l10n_pe.district_pe_010502,base.pe,base.state_pe_01
l10n_pe.district_pe_010503,base.pe,base.state_pe_01
l10n_pe.district_pe_010504,base.pe,base.state_pe_01
l10n_pe.district_pe_010505,base.pe,base.state_pe_01
l10n_pe.district_pe_010506,base.pe,base.state_pe_01
l10n_pe.district_pe_010507,base.pe,base.state_pe_01
l10n_pe.district_pe_010508,base.pe,base.state_pe_01
l10n_pe.district_pe_010509,base.pe,base.state_pe_01
l10n_pe.district_pe_010510,base.pe,base.state_pe_01
l10n_pe.district_pe_010511,base.pe,base.state_pe_01
l10n_pe.district_pe_010512,base.pe,base.state_pe_01
l10n_pe.district_pe_010513,base.pe,base.state_pe_01
l10n_pe.district_pe_010514,base.pe,base.state_pe_01
l10n_pe.district_pe_010515,base.pe,base.state_pe_01
l10n_pe.district_pe_010516,base.pe,base.state_pe_01
l10n_pe.district_pe_010517,base.pe,base.state_pe_01
l10n_pe.district_pe_010518,base.pe,base.state_pe_01
l10n_pe.district_pe_010519,base.pe,base.state_pe_01
l10n_pe.district_pe_010520,base.pe,base.state_pe_01
l10n_pe.district_pe_010521,base.pe,base.state_pe_01
l10n_pe.district_pe_010522,base.pe,base.state_pe_01
l10n_pe.district_pe_010523,base.pe,base.state_pe_01
l10n_pe.district_pe_010601,base.pe,base.state_pe_01
l10n_pe.district_pe_010602,base.pe,base.state_pe_01
l10n_pe.district_pe_010603,base.pe,base.state_pe_01
l10n_pe.district_pe_010604,base.pe,base.state_pe_01
l10n_pe.district_pe_010605,base.pe,base.state_pe_01
l10n_pe.district_pe_010606,base.pe,base.state_pe_01
l10n_pe.district_pe_010607,base.pe,base.state_pe_01
l10n_pe.district_pe_010608,base.pe,base.state_pe_01
l10n_pe.district_pe_010609,base.pe,base.state_pe_01
l10n_pe.district_pe_010610,base.pe,base.state_pe_01
l10n_pe.district_pe_010611,base.pe,base.state_pe_01
l10n_pe.district_pe_010612,base.pe,base.state_pe_01
l10n_pe.district_pe_010701,base.pe,base.state_pe_01
l10n_pe.district_pe_010702,base.pe,base.state_pe_01
l10n_pe.district_pe_010703,base.pe,base.state_pe_01
l10n_pe.district_pe_010704,base.pe,base.state_pe_01
l10n_pe.district_pe_010705,base.pe,base.state_pe_01
l10n_pe.district_pe_010706,base.pe,base.state_pe_01
l10n_pe.district_pe_010707,base.pe,base.state_pe_01
l10n_pe.district_pe_020101,base.pe,base.state_pe_02
l10n_pe.district_pe_020102,base.pe,base.state_pe_02
l10n_pe.district_pe_020103,base.pe,base.state_pe_02
l10n_pe.district_pe_020104,base.pe,base.state_pe_02
l10n_pe.district_pe_020105,base.pe,base.state_pe_02
l10n_pe.district_pe_020106,base.pe,base.state_pe_02
l10n_pe.district_pe_020107,base.pe,base.state_pe_02
l10n_pe.district_pe_020108,base.pe,base.state_pe_02
l10n_pe.district_pe_020109,base.pe,base.state_pe_02
l10n_pe.district_pe_020110,base.pe,base.state_pe_02
l10n_pe.district_pe_020111,base.pe,base.state_pe_02
l10n_pe.district_pe_020112,base.pe,base.state_pe_02
l10n_pe.district_pe_020201,base.pe,base.state_pe_02
l10n_pe.district_pe_020202,base.pe,base.state_pe_02
l10n_pe.district_pe_020203,base.pe,base.state_pe_02
l10n_pe.district_pe_020204,base.pe,base.state_pe_02
l10n_pe.district_pe_020205,base.pe,base.state_pe_02
l10n_pe.district_pe_020301,base.pe,base.state_pe_02
l10n_pe.district_pe_020302,base.pe,base.state_pe_02
l10n_pe.district_pe_020303,base.pe,base.state_pe_02
l10n_pe.district_pe_020304,base.pe,base.state_pe_02
l10n_pe.district_pe_020305,base.pe,base.state_pe_02
l10n_pe.district_pe_020306,base.pe,base.state_pe_02
l10n_pe.district_pe_020401,base.pe,base.state_pe_02
l10n_pe.district_pe_020402,base.pe,base.state_pe_02
l10n_pe.district_pe_020501,base.pe,base.state_pe_02
l10n_pe.district_pe_020502,base.pe,base.state_pe_02
l10n_pe.district_pe_020503,base.pe,base.state_pe_02
l10n_pe.district_pe_020504,base.pe,base.state_pe_02
l10n_pe.district_pe_020505,base.pe,base.state_pe_02
l10n_pe.district_pe_020506,base.pe,base.state_pe_02
l10n_pe.district_pe_020507,base.pe,base.state_pe_02
l10n_pe.district_pe_020508,base.pe,base.state_pe_02
l10n_pe.district_pe_020509,base.pe,base.state_pe_02
l10n_pe.district_pe_020510,base.pe,base.state_pe_02
l10n_pe.district_pe_020511,base.pe,base.state_pe_02
l10n_pe.district_pe_020512,base.pe,base.state_pe_02
l10n_pe.district_pe_020513,base.pe,base.state_pe_02
l10n_pe.district_pe_020514,base.pe,base.state_pe_02
l10n_pe.district_pe_020515,base.pe,base.state_pe_02
l10n_pe.district_pe_020601,base.pe,base.state_pe_02
l10n_pe.district_pe_020602,base.pe,base.state_pe_02
l10n_pe.district_pe_020603,base.pe,base.state_pe_02
l10n_pe.district_pe_020604,base.pe,base.state_pe_02
l10n_pe.district_pe_020605,base.pe,base.state_pe_02
l10n_pe.district_pe_020606,base.pe,base.state_pe_02
l10n_pe.district_pe_020607,base.pe,base.state_pe_02
l10n_pe.district_pe_020608,base.pe,base.state_pe_02
l10n_pe.district_pe_020609,base.pe,base.state_pe_02
l10n_pe.district_pe_020610,base.pe,base.state_pe_02
l10n_pe.district_pe_020611,base.pe,base.state_pe_02
l10n_pe.district_pe_020701,base.pe,base.state_pe_02
l10n_pe.district_pe_020702,base.pe,base.state_pe_02
l10n_pe.district_pe_020703,base.pe,base.state_pe_02
l10n_pe.district_pe_020801,base.pe,base.state_pe_02
l10n_pe.district_pe_020802,base.pe,base.state_pe_02
l10n_pe.district_pe_020803,base.pe,base.state_pe_02
l10n_pe.district_pe_020804,base.pe,base.state_pe_02
l10n_pe.district_pe_020901,base.pe,base.state_pe_02
l10n_pe.district_pe_020902,base.pe,base.state_pe_02
l10n_pe.district_pe_020903,base.pe,base.state_pe_02
l10n_pe.district_pe_020904,base.pe,base.state_pe_02
l10n_pe.district_pe_020905,base.pe,base.state_pe_02
l10n_pe.district_pe_020906,base.pe,base.state_pe_02
l10n_pe.district_pe_020907,base.pe,base.state_pe_02
l10n_pe.district_pe_021001,base.pe,base.state_pe_02
l10n_pe.district_pe_021002,base.pe,base.state_pe_02
l10n_pe.district_pe_021003,base.pe,base.state_pe_02
l10n_pe.district_pe_021004,base.pe,base.state_pe_02
l10n_pe.district_pe_021005,base.pe,base.state_pe_02
l10n_pe.district_pe_021006,base.pe,base.state_pe_02
l10n_pe.district_pe_021007,base.pe,base.state_pe_02
l10n_pe.district_pe_021008,base.pe,base.state_pe_02
l10n_pe.district_pe_021009,base.pe,base.state_pe_02
l10n_pe.district_pe_021010,base.pe,base.state_pe_02
l10n_pe.district_pe_021011,base.pe,base.state_pe_02
l10n_pe.district_pe_021012,base.pe,base.state_pe_02
l10n_pe.district_pe_021013,base.pe,base.state_pe_02
l10n_pe.district_pe_021014,base.pe,base.state_pe_02
l10n_pe.district_pe_021015,base.pe,base.state_pe_02
l10n_pe.district_pe_021016,base.pe,base.state_pe_02
l10n_pe.district_pe_021101,base.pe,base.state_pe_02
l10n_pe.district_pe_021102,base.pe,base.state_pe_02
l10n_pe.district_pe_021103,base.pe,base.state_pe_02
l10n_pe.district_pe_021104,base.pe,base.state_pe_02
l10n_pe.district_pe_021105,base.pe,base.state_pe_02
l10n_pe.district_pe_021201,base.pe,base.state_pe_02
l10n_pe.district_pe_021202,base.pe,base.state_pe_02
l10n_pe.district_pe_021203,base.pe,base.state_pe_02
l10n_pe.district_pe_021204,base.pe,base.state_pe_02
l10n_pe.district_pe_021205,base.pe,base.state_pe_02
l10n_pe.district_pe_021206,base.pe,base.state_pe_02
l10n_pe.district_pe_021207,base.pe,base.state_pe_02
l10n_pe.district_pe_021208,base.pe,base.state_pe_02
l10n_pe.district_pe_021209,base.pe,base.state_pe_02
l10n_pe.district_pe_021210,base.pe,base.state_pe_02
l10n_pe.district_pe_021301,base.pe,base.state_pe_02
l10n_pe.district_pe_021302,base.pe,base.state_pe_02
l10n_pe.district_pe_021303,base.pe,base.state_pe_02
l10n_pe.district_pe_021304,base.pe,base.state_pe_02
l10n_pe.district_pe_021305,base.pe,base.state_pe_02
l10n_pe.district_pe_021306,base.pe,base.state_pe_02
l10n_pe.district_pe_021307,base.pe,base.state_pe_02
l10n_pe.district_pe_021308,base.pe,base.state_pe_02
l10n_pe.district_pe_021401,base.pe,base.state_pe_02
l10n_pe.district_pe_021402,base.pe,base.state_pe_02
l10n_pe.district_pe_021403,base.pe,base.state_pe_02
l10n_pe.district_pe_021404,base.pe,base.state_pe_02
l10n_pe.district_pe_021405,base.pe,base.state_pe_02
l10n_pe.district_pe_021406,base.pe,base.state_pe_02
l10n_pe.district_pe_021407,base.pe,base.state_pe_02
l10n_pe.district_pe_021408,base.pe,base.state_pe_02
l10n_pe.district_pe_021409,base.pe,base.state_pe_02
l10n_pe.district_pe_021410,base.pe,base.state_pe_02
l10n_pe.district_pe_021501,base.pe,base.state_pe_02
l10n_pe.district_pe_021502,base.pe,base.state_pe_02
l10n_pe.district_pe_021503,base.pe,base.state_pe_02
l10n_pe.district_pe_021504,base.pe,base.state_pe_02
l10n_pe.district_pe_021505,base.pe,base.state_pe_02
l10n_pe.district_pe_021506,base.pe,base.state_pe_02
l10n_pe.district_pe_021507,base.pe,base.state_pe_02
l10n_pe.district_pe_021508,base.pe,base.state_pe_02
l10n_pe.district_pe_021509,base.pe,base.state_pe_02
l10n_pe.district_pe_021510,base.pe,base.state_pe_02
l10n_pe.district_pe_021511,base.pe,base.state_pe_02
l10n_pe.district_pe_021601,base.pe,base.state_pe_02
l10n_pe.district_pe_021602,base.pe,base.state_pe_02
l10n_pe.district_pe_021603,base.pe,base.state_pe_02
l10n_pe.district_pe_021604,base.pe,base.state_pe_02
l10n_pe.district_pe_021701,base.pe,base.state_pe_02
l10n_pe.district_pe_021702,base.pe,base.state_pe_02
